storecode,storename,cityName,districtName,address,starttime,endtime,lat,lng
,肯德基(唐山友谊天地餐厅),唐山,路南区,友谊路与国防道交口电话0315-,,,39.620461,118.143012
,肯德基(丰润店),唐山,丰润区,丰润区餐厅,,,39.828167,118.160905
,肯德基(城西丰润北购店),唐山,丰润区,曹雪芹西大街386号城西北购一层,,,39.827617,118.118548
,肯德基(丰润万达店),唐山,丰润区,祥云道9号万达广场丰润店F1层,,,39.819298,118.117293
,肯德基(古冶店),唐山,古冶区,新林道49号(林西平价购物中心1层),,,39.714105,118.450541
,肯德基(唐山雅颂庭店),唐山,路北区,长虹道887、889号雅颂庭商场一层107号商铺,,,39.650349,118.1499
,肯德基(唐山永盛店),唐山,古冶区,唐山百货大楼金山购物广场一层101号,,,39.736346,118.444116
,肯德基(唐山凤凰世嘉餐厅),唐山,路北区,文源里凤凰世嘉306商业楼一层6号,,,39.638996,118.134438
,肯德基(友谊路中石油餐厅店),唐山,路北区,友谊路与长宁道交叉口南行100米路东中石油友谊路加油站站房一层二层的东侧,,,39.663708,118.143233
,肯德基(唐山吾悦餐厅店),唐山,路北区,吾悦广场一层0315-,,,39.668434,118.156512
,肯德基,唐山,滦州市,建华大街与团结路交口处华成购物广场,,,39.737137,118.694367
,肯德基(唐山韩城阳光店),唐山,路北区,韩城镇新安路与兴隆道交叉口西北角阳光北方购物广场一层101号,,,39.63894,118.041667
,肯德基(丰南港岛中心店),唐山,丰南区,运河东路东侧国丰大街南侧港岛中心商业综合体B座1层F1250号,,,39.576527,118.090073
,肯德基(玉田店),唐山,玉田县,无终街14号玉田供销大厦一层,,,39.883475,117.754575
,肯德基(滦南店),唐山,滦南县,和平路38号银隆购物广场一层0315-,,,39.506475,118.68005
,肯德基(文明店),唐山,玉田县,凤凰购物一层,,,39.893468,117.753679
,肯德基(滦县店),唐山,滦州市,燕山大街与滦河路交叉口东安商厦一层,,,39.740188,118.70562
,肯德基(天承店),唐山,滦南县,滦南唐百购物广场一层,,,39.500189,118.666561
,肯德基(迁西店),唐山,迁西县,喜峰中路千盛广场(购买大神卡享每天一份大杯咖啡10元特权90天),,,40.14687,118.307335
,肯德基(迁安钢城大街店),唐山,迁安市,大润发一楼,,,39.998974,118.692295
,肯德基车速取餐厅(丰润太平路DTKFC店),唐山,丰润区,园东道北侧、太平路东侧丰润区永益酒店一层肯德基餐厅,,,39.842668,118.170456
,肯德基(长丰路店),唐山,曹妃甸区,唐海镇桥西小区星海里四季华庭108号一层1号,,,39.282406,118.440371
,肯德基(遵缘店),唐山,遵化市,文化北路金缘购物中心一层,,,40.19546,117.965672
,肯德基(乐亭大东方店),唐山,乐亭县,金融大街125号大东方购物广场东城店F1层,,,39.429301,118.916059
,肯德基(兴安店),唐山,迁安市,兴安大街936号兴宝大商业广场1层,,,40.014376,118.70339
,肯德基(夏日店),唐山,乐亭县,金融大街35号夏日商场一层,,,39.426622,118.897037
,肯德基(崇尚店),唐山,迁安市,汇泉大街东安购物广场一层,,,40.00185,118.703394
,肯德基(开平店),唐山,开平区,"新苑路与普光道交口志方购物广场1,2层",,,39.675202,118.262675
,肯德基(迁安天洋广场店),唐山,迁安市,天洋广场西门,,,39.980344,118.703954
,肯德基(南堡KFC),唐山,曹妃甸区,南堡经济开发区开放路与友谊道交口,,,39.238835,118.214255
,肯德基(玉田商业中心DT店),唐山,玉田县,旭升北路西侧伯雍东街北侧玉田国际商业中心项目2号-1号一层101号102号103号104号,,,39.898525,117.770875
,肯德基(唐山新军屯餐厅),唐山,丰润区,新军屯镇新军屯村唐通线与070乡道交口东北角(新和供销大厦一层),,,39.643282,117.96214
,肯德基(玉田北购店),唐山,玉田县,北环路北侧玉田县北方购物广场一层101号、102号,,,39.900994,117.742349
,肯德基(遵化开元店),唐山,遵化市,华明北路西侧府前西街南侧开元小区四期开元国际项目,,,40.192413,117.956555
,肯德基(唐山曹妃甸大学城店),唐山,曹妃甸区,唐山湾生态城学府商务中心7幢5号一层,,,39.19783,118.578228
,肯德基(丰润太平路车速取餐厅),唐山,丰润区,园东道北侧太平路东侧永益酒店一层1号,,,39.842668,118.170456
,肯德基(玉田鸦鸿桥KFC),唐山,玉田县,宏祥家园小区西侧路南底商,,,39.755255,117.848641
,肯德基(滦州服务区北店),唐山,滦州市,滦州市京哈高速滦州服务区,,,39.845893,118.40658
,滦州服务区肯德基,唐山,滦州市,滦州服务区与G1京哈高速交叉口西300米,,,39.848267,118.40656
,肯德基(玉田服务区店),唐山,玉田县,境内京哈高速(CI高速)京秦段玉田服务区(北区),,,39.763622,117.79345
,肯德基(玉田服务区),唐山,玉田县,玉田境内京哈高速(京秦段G1方向)玉田服务区肯德基餐厅,,,39.761044,117.792468
,肯德基(爱琴海城市广场店),唐山,遵化市,凤凰南路西侧通华东街南侧水泉路东侧金凤华府-静海广场商住综合体项目爱琴海广场一层I022B,,,40.186464,117.971957
,肯德基(迁安滨河餐厅),唐山,迁安市,滨河街道滨河超商一层,,,39.998825,118.591669
,肯德基(唐山京唐港店),唐山,乐亭县,京唐港中商海港城天奕一层,,,39.243071,118.981778
,KFC渤海店,唐山,路南区,新华西道辅路与渤海南北街交叉口东60米,,,39.625417,118.147369
,肯德基(南湖中石油DT店),唐山,路南区,惠民街道学院南路与明湖路东行50米中国石油加油站南湖站,,,39.599373,118.146314
,肯德炸鸡(汇乐城店),唐山,乐亭县,乐安街道商业步行街A4-113,,,39.430184,118.917898
,肯德基(朝阳店),保定,竞秀区,朝阳路18号,,,38.872295,115.468449
,肯德基(保百店),保定,竞秀区,朝阳北大街和天鹅中路交口北国先天下购物广场地下一层,,,38.893075,115.467904
,肯德基(北国商城店),保定,莲池区,裕华路9号北国商城裕华东路1F层,,,38.858107,115.50415
,肯德基(天鹅店),保定,莲池区,天鹅中路1399号一层,,,38.891021,115.498688
,肯德基(青年店),保定,莲池区,永华北大街与五四中路交口文华国际底商一、二层,,,38.873728,115.501188
,肯德基(裕华店),保定,莲池区,裕华西路383号,,,38.859123,115.494964
,肯德基(保定十方店),保定,莲池区,建华大街789号惠友购物广场一层A-A-2号商铺,,,38.858374,115.481069
,肯德基(绿溪谷店),保定,竞秀区,阳光北大街东侧绿溪谷乐园售票处旁一层,,,38.924408,115.481263
,肯德基(保定嘉德万达店),保定,莲池区,三丰东路246号嘉德万达广场内1029-1030号商铺,,,38.846444,115.511207
,肯德基(保定帕克店),保定,莲池区,北二环路999号钟楼Park3.1一层129-2号商铺,,,38.912279,115.512416
,肯德基(保定美廉好店),保定,莲池区,三丰中路与利民街交叉口西北60米,,,38.846887,115.476526
,肯德基(保定未来石万达店),保定,莲池区,东三环西七一路北侧未来石万达广场6号门1001号商铺,,,38.879059,115.557959
,肯德基(保定瑞祥店),保定,竞秀区,瑞祥大街风帆家园7号楼-4-5-6-7商业的002号商铺,,,38.903501,115.489777
,肯德基(满城店),保定,满城区,惠友购物广场1层,,,38.948204,115.346206
,肯德基(清苑店),保定,清苑区,清苑路28号誉隆购物中心一二层,,,38.766975,115.491275
,肯德基(保定新万博餐厅),保定,竞秀区,朝阳北大街99号万博广场负一层BC006号铺位,,,38.875778,115.469697
,肯德基(爱情广场K咖啡车速取窗),保定,莲池区,朝阳大街西南二环北保定爱情广场商业综合体一层1019号1020号,,,38.821084,115.463696
,肯德基(惠友店),保定,徐水区,惠友购物广场东北门旁,,,39.014589,115.651663
,肯德基(汇博·上谷大观店),保定,竞秀区,朝阳北大街西侧横滨路南侧汇博·上谷大观A区2号楼一层2-15号2-16号2-17-1号,,,38.920556,115.465792
,肯德基(保定保师附小店),保定,莲池区,复兴中路955-30号商铺(京南一品东门北侧),,,38.895947,115.51382
,肯德基(保定宇航数字产业园餐厅),保定,莲池区,百楼镇锦湖北大街1088号保定宇航数字产业园1号楼底商101室,,,38.890663,115.548447
,肯德基(文华路店),保定,定兴县,开放西路41号,,,39.260686,115.783477
,肯德基(祁州店),保定,安国市,药华大街宜佳旺购物广场1层,,,38.422281,115.322537
,肯德基(河北大学七一路校区食堂店),保定,莲池区,七一东路2666号河北大学坤舆一楼风味餐厅001号铺位,,,38.881316,115.569658
,肯德基(雄县天奕店),保定,雄县,将台路东侧天奕商厦102号商铺一二层,,,38.997289,116.115981
,肯德基(高阳店),保定,高阳县,大世界购物中心东门旁,,,38.6918,115.780935
,KFC甜品站(华创国际广场东区店),保定,莲池区,裕华西路555号华创国际广场东区F1层,,,38.859492,115.489136
,肯德基(盛源店),保定,易县,易州镇东关新村D区盛源购物中心一层,,,39.349803,115.514019
,肯德基(定兴店),保定,定兴县,通兴东路南侧69号,,,39.263174,115.804849
,肯德基(阳光店),保定,高碑店市,白沟仁和北路与七一南路交口东北角,,,39.115767,116.032711
,肯德基(望都易购店),保定,望都县,庆都西路易购广场一层,,,38.69383,115.161453
,肯德基(容城店),保定,容城县,奥威路106号惠友购物广场1层,,,39.04294,115.863106
,肯德基(顺平县惠友广场店),保定,顺平县,顺兴中路惠友广场一楼肯德基0312-,,,38.842378,115.134106
,肯德基(现代店),保定,高碑店市,迎宾西路121附近,,,39.325973,115.869292
,肯德基(雄安容和店),保定,容城县,容东片区容德东路80号一层001商铺,,,39.070971,115.944144
,肯德基(保定容城双隆店),保定,容城县,古城路18号双隆商厦一层,,,39.053316,115.870731
,肯德基(悦容店),保定,容城县,善容路77号百尚容东生活广场,,,39.067525,115.919605
,肯德基(保定安新双隆店),保定,安新县,安新镇雁翔东路北侧双隆商厦1层(8号门店),,,38.9307,115.945669
,肯德基(开元店),保定,定州市,中山路与商业街交叉口大世界F1,,,38.517058,114.986595
,肯德基(保定汇金城店),保定,涞水县,府前街西延南侧(汇金城市广场)1层1-1号,,,39.393725,115.686175
,肯德基(保定定州万达店),保定,定州市,万达广场1号门旁,,,38.52841,115.008949
,肯德基(保津DT店),保定,高碑店市,津保路天奕商厦前广场,,,39.107945,116.032241
,肯德基(徐水雷通广场店),保定,徐水区,盛源南大街与刘伶路交叉口巨力新能源小区西北侧80米,,,39.005274,115.642195
,肯德基(家兴店),保定,高碑店市,迎宾路33号家兴购物广场1层,,,39.327091,115.861583
,肯德基(定州中兴润腾店),保定,定州市,中兴西路润腾臻园底商1-1商业四号一层和二层,,,38.512518,114.963607
,肯德基(易县惠友店),保定,易县,城区管理处厂东关村惠友广场一层,,,39.35923,115.4972
,肯德基(保定蠡县店),保定,蠡县,公园金街生活广场,,,38.513248,115.587327
,肯德基(高碑店悦百汇购物中心店),保定,高碑店市,世纪大街南侧天阔商业(悦百汇购物广场)一层101号,,,39.313045,115.889954
,肯德基(博野宜家旺),保定,博野县,博兴中路88号,,,38.457525,115.462425
,肯德基(曲阳店),保定,曲阳县,凯嘉购物中心1层,,,38.612306,114.703478
,肯德基(安新信誉商厦餐厅),保定,安新县,建设大街19号信誉商厦一层001铺,,,38.928878,115.934386
,肯德基(宜佳旺阳光店),保定,高碑店市,迎宾路南侧五一路东侧路193号阳光商厦一层1001-1002商铺,,,39.326138,115.88667
,肯德基(唐县沃隆广场餐厅),保定,唐县,唐尧公园西侧钟鸣路南侧唐县沃隆时代广场1A-09A-10至A-16,,,38.757975,114.996825
,肯德基(国贸店),保定,涿州市,范阳西路152号华冠天地F1,,,39.484694,115.979295
,肯德基(雄安奥特莱斯店),保定,容城县,雄安奥特莱斯,,,39.062377,115.938337
,肯德基(定兴文华路车速取餐厅),保定,定兴县,兴盛大街东侧开放西路南侧拾萃坊39号楼一层001铺,,,39.26085,115.78391
,肯德鸡风味,保定,竞秀区,大唐保定热电厂第一生活区东门旁,,,38.880754,115.453771
,肯德基(鸿坤理想湾店),保定,涿州市,乾元路k2号,,,39.462407,116.048235
,肯德基(钻石广场店),保定,涿州市,范阳中路惠友钻石广场1层,,,39.484382,116.033387
,肯德基(宜佳旺购物广场店),保定,涿州市,东兴北街宜佳旺商厦一层,,,39.487825,116.010575
,肯德基(范阳餐厅),保定,涿州市,范阳西路与东大街交口东北角F1-20号铺位,,,39.48578,115.975314
,肯德基(阜平店),保定,阜平县,正信楼超市(阜平正信楼购物中心店),,,38.841606,114.194485
,肯德基甜品站(保定涞水百里峡店)(暂停营业),保定,涞水县,三坡镇苟各庄村百里峡景区商业街与百里峡大道交叉口东南角第一栋第一层,,,39.679599,115.391117
,肯德基(廊坊建国道店),廊坊,广阳区,建国道与新开路交口肯德基,,,39.518471,116.720621
,肯德基(银河路远洋店),廊坊,广阳区,丰盛路以东新源道以南银河北路以西商业5号楼1单元1层101号,,,39.541055,116.696338
,肯德基(时代店),廊坊,广阳区,新世纪步行街新华路161号,,,39.534275,116.707121
,肯德基(乐都店),廊坊,广阳区,银河北路119号乐都百货一二层,,,39.532369,116.698674
,肯德基(廊坊永兴路店),廊坊,广阳区,华夏幸福城润园16-6-01的房屋,,,39.542148,116.677705
,肯德基(永华店),廊坊,安次区,南门外大街117号波尔多花园号楼明珠大厦永华店一层,,,39.503925,116.698175
,肯德基(爱民店),廊坊,广阳区,新朝阳购物中心1-2层爱民道与新开路交口,,,39.528567,116.725218
,肯德基(廊坊万达店),廊坊,广阳区,新华路万达广场1楼,,,39.523164,116.707138
,肯德基(廊坊廊和坊DT店),廊坊,广阳区,廊坊市开发区华祥路与金源道交口以东廊和坊·金融街-金融·家项目商业街H座1层,,,39.574098,116.771325
,肯德基(廊坊荣盛店),廊坊,广阳区,艺术大道以北建设路以东祥云道荣盛华府14号楼商城荣盛超市一层,,,39.558376,116.709816
